,Accident_Index,Accident_Severity,Date,Day_of_Week,Light_Conditions,Number_of_Casualties,Number_of_Vehicles,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Road_Surface_Conditions,Speed_limit,Time,Weather_Conditions,Year_y
25,200501BS00024,Slight,24/01/2005,Monday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,17:05,Fine no high winds,2005
26,200501BS00025,Slight,24/01/2005,Monday,Darkness - lights lit,1,2,0.0,0.0,Frost or ice,30,21:30,Fine no high winds,2005
27,200501BS00028,Slight,18/01/2005,Tuesday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,17:25,Fine no high winds,2005
28,200501BS00029,Slight,29/01/2005,Saturday,Daylight,1,2,0.0,5.0,Wet or damp,30,7:34,Fine no high winds,2005
29,200501BS00031,Slight,19/01/2005,Wednesday,Darkness - lights lit,1,1,0.0,1.0,Wet or damp,30,16:35,Raining no high winds,2005
30,200501BS00032,Slight,30/01/2005,Sunday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,20:00,Fine no high winds,2005
31,200501BS00033,Slight,29/01/2005,Saturday,Daylight,2,2,0.0,5.0,Wet or damp,30,13:15,Raining no high winds,2005
32,200501BS70001,Slight,01/02/2005,Tuesday,Darkness - lights lit,1,2,0.0,5.0,Wet or damp,30,18:20,Raining no high winds,2005
33,200501BS70002,Slight,02/02/2005,Wednesday,Darkness - lights lit,1,2,0.0,1.0,Dry,30,7:25,Fine no high winds,2005
34,200501BS70003,Serious,01/02/2005,Tuesday,Darkness - lights lit,2,2,0.0,0.0,Wet or damp,30,17:30,Raining no high winds,2005
35,200501BS70004,Slight,03/02/2005,Thursday,Daylight,1,2,0.0,1.0,Dry,30,12:30,Unknown,2005
36,200501BS70005,Slight,12/02/2005,Saturday,Daylight,1,2,0.0,4.0,Wet or damp,30,9:55,Fine no high winds,2005
37,200501BS70006,Slight,03/02/2005,Thursday,Daylight,2,2,0.0,1.0,Wet or damp,30,13:00,Raining no high winds,2005
38,200501BS70007,Slight,01/02/2005,Tuesday,Daylight,1,4,0.0,1.0,Dry,30,13:02,Fine no high winds,2005
39,200501BS70007,Slight,01/02/2005,Tuesday,Daylight,1,4,0.0,1.0,Dry,30,13:02,Fine no high winds,2005
40,200501BS70007,Slight,01/02/2005,Tuesday,Daylight,1,4,0.0,1.0,Dry,30,13:02,Fine no high winds,2005
41,200501BS70008,Slight,03/02/2005,Thursday,Darkness - lights lit,2,2,0.0,0.0,Dry,30,22:55,Fine no high winds,2005
42,200501BS70009,Slight,03/02/2005,Thursday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,17:30,Fine no high winds,2005
43,200501BS70010,Slight,06/02/2005,Sunday,Daylight,1,2,0.0,0.0,Dry,30,15:00,Fine no high winds,2005
44,200501BS70011,Slight,05/02/2005,Saturday,Darkness - lights lit,1,2,0.0,5.0,Dry,30,21:25,Fine no high winds,2005
45,200501BS70012,Slight,03/02/2005,Thursday,Daylight,1,2,0.0,4.0,Dry,30,12:41,Fine no high winds,2005
46,200501BS70013,Slight,04/02/2005,Friday,Darkness - lights lit,1,1,0.0,5.0,Dry,30,23:35,Fine no high winds,2005
47,200501BS70014,Slight,07/02/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,9:15,Fine no high winds,2005
48,200501BS70016,Slight,12/02/2005,Saturday,Daylight,1,1,0.0,5.0,Dry,30,13:25,Fine no high winds,2005
49,200501BS70017,Slight,08/02/2005,Tuesday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,20:00,Fine no high winds,2005
50,200501BS70017,Slight,08/02/2005,Tuesday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,20:00,Fine no high winds,2005
51,200501BS70018,Slight,16/02/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,8:20,Fine no high winds,2005
52,200501BS70019,Slight,07/02/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,11:30,Fine no high winds,2005
53,200501BS70020,Slight,10/02/2005,Thursday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,18:10,Raining no high winds,2005
54,200501BS70021,Slight,12/02/2005,Saturday,Daylight,1,1,0.0,4.0,Wet or damp,30,11:33,Fine no high winds,2005
55,200501BS70023,Slight,13/02/2005,Sunday,Darkness - lights lit,2,2,0.0,0.0,Dry,30,20:05,Fine no high winds,2005
56,200501BS70025,Slight,01/02/2005,Tuesday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,16:44,Raining no high winds,2005
57,200501BS70027,Slight,17/02/2005,Thursday,Darkness - lights lit,1,2,0.0,1.0,Wet or damp,30,18:00,Raining no high winds,2005
58,200501BS70028,Slight,04/02/2005,Friday,Daylight,1,1,0.0,1.0,Dry,30,10:15,Fine no high winds,2005
59,200501BS70029,Serious,15/02/2005,Tuesday,Darkness - lights lit,1,1,0.0,1.0,Dry,30,18:15,Fine no high winds,2005
60,200501BS70030,Slight,16/02/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,10:35,Fine no high winds,2005
61,200501BS70031,Slight,18/02/2005,Friday,Darkness - lights lit,1,1,0.0,5.0,Wet or damp,30,17:36,Raining no high winds,2005
62,200501BS70032,Slight,15/02/2005,Tuesday,Daylight,1,1,0.0,0.0,Dry,30,16:05,Fine no high winds,2005
63,200501BS70033,Slight,10/02/2005,Thursday,Daylight,1,1,0.0,1.0,Wet or damp,30,13:56,Raining no high winds,2005
64,200501BS70034,Slight,16/02/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,14:10,Fine no high winds,2005
65,200501BS70036,Slight,21/02/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,10:10,Fine no high winds,2005
66,200501BS70037,Slight,20/02/2005,Sunday,Daylight,1,1,0.0,0.0,Wet or damp,30,14:50,Raining no high winds,2005
67,200501BS70038,Slight,22/02/2005,Tuesday,Daylight,1,3,0.0,0.0,Wet or damp,30,14:43,Fine no high winds,2005
68,200501BS70039,Slight,21/02/2005,Monday,Darkness - lights lit,2,2,0.0,4.0,Dry,30,17:20,Fine no high winds,2005
69,200501BS70040,Slight,20/02/2005,Sunday,Daylight,1,2,0.0,5.0,Dry,30,12:40,Fine no high winds,2005
70,200501BS70041,Slight,20/02/2005,Sunday,Daylight,2,1,0.0,4.0,Dry,30,13:55,Fine no high winds,2005
71,200501BS70042,Slight,26/02/2005,Saturday,Darkness - lights lit,2,2,0.0,0.0,Dry,30,22:25,Fine no high winds,2005
72,200501BS70043,Slight,28/02/2005,Monday,Darkness - lights lit,1,4,0.0,0.0,Wet or damp,30,18:14,Fine no high winds,2005
73,200501BS70044,Slight,24/02/2005,Thursday,Daylight,1,2,0.0,5.0,Wet or damp,30,16:30,Fine no high winds,2005
74,200501BS70045,Slight,01/03/2005,Tuesday,Darkness - lights lit,1,1,0.0,0.0,Wet or damp,30,19:00,Raining no high winds,2005
75,200501BS70046,Slight,23/02/2005,Wednesday,Darkness - lights lit,1,1,0.0,4.0,Dry,30,17:13,Fine no high winds,2005
76,200501BS70047,Slight,26/02/2005,Saturday,Darkness - lights lit,1,2,0.0,5.0,Wet or damp,30,17:00,Raining no high winds,2005
77,200501BS70048,Slight,24/02/2005,Thursday,Daylight,1,2,0.0,0.0,Wet or damp,30,9:15,Snowing no high winds,2005
78,200501BS70048,Slight,24/02/2005,Thursday,Daylight,1,2,0.0,0.0,Wet or damp,30,9:15,Snowing no high winds,2005
79,200501BS70049,Slight,25/02/2005,Friday,Darkness - lights lit,1,1,0.0,5.0,Wet or damp,30,0:11,Raining no high winds,2005
80,200501BS70050,Slight,23/02/2005,Wednesday,Darkness - lights lit,1,3,0.0,5.0,Dry,30,19:00,Fine no high winds,2005
81,200501BS70051,Slight,26/02/2005,Saturday,Darkness - lights lit,1,1,0.0,0.0,Wet or damp,30,1:48,Other,2005
82,200501BS70052,Slight,23/02/2005,Wednesday,Daylight,1,1,0.0,0.0,Snow,30,7:58,Snowing no high winds,2005
83,200501BS70053,Slight,25/02/2005,Friday,Daylight,1,1,0.0,5.0,Wet or damp,30,14:55,Fine no high winds,2005
84,200501BS70054,Slight,25/02/2005,Friday,Daylight,1,2,0.0,1.0,Wet or damp,30,8:22,Snowing no high winds,2005
85,200501BS70055,Slight,25/02/2005,Friday,Darkness - lights lit,1,1,0.0,5.0,Wet or damp,30,4:38,Snowing no high winds,2005
86,200501BS70056,Slight,04/03/2005,Friday,Daylight,1,1,0.0,5.0,Wet or damp,30,13:20,Raining no high winds,2005
87,200501BS70058,Slight,01/03/2005,Tuesday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,0:30,Fine no high winds,2005
88,200501BS70060,Slight,28/02/2005,Monday,Darkness - lights lit,1,2,0.0,5.0,Wet or damp,30,19:30,Snowing no high winds,2005
89,200501BS70061,Slight,01/03/2005,Tuesday,Daylight,1,2,0.0,0.0,Wet or damp,30,12:03,Raining no high winds,2005
90,200501BS70061,Slight,01/03/2005,Tuesday,Daylight,1,2,0.0,0.0,Wet or damp,30,12:03,Raining no high winds,2005
91,200501BS70062,Slight,14/02/2005,Monday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,23:03,Fine no high winds,2005
92,200501BS70063,Slight,02/02/2005,Wednesday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,22:19,Raining no high winds,2005
93,200501BS70065,Slight,03/03/2005,Thursday,Daylight,1,2,0.0,0.0,Dry,30,14:30,Fine no high winds,2005
94,200501BS70066,Serious,01/03/2005,Tuesday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,19:15,Raining no high winds,2005
95,200501BS70067,Slight,01/03/2005,Tuesday,Darkness - lights lit,1,2,0.0,4.0,Wet or damp,30,18:31,Raining no high winds,2005
96,200501BS70068,Slight,05/03/2005,Saturday,Darkness - lights lit,4,2,0.0,5.0,Dry,30,2:58,Fine no high winds,2005
97,200501BS70069,Slight,01/03/2005,Tuesday,Daylight,1,1,0.0,0.0,Dry,30,10:40,Fine no high winds,2005
98,200501BS70070,Slight,08/03/2005,Tuesday,Darkness - lights lit,1,1,0.0,0.0,Dry,30,23:40,Fine no high winds,2005
99,200501BS70072,Slight,03/03/2005,Thursday,Darkness - lights lit,1,1,0.0,0.0,Wet or damp,30,21:07,Fine no high winds,2005
100,200501BS70073,Serious,05/03/2005,Saturday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,18:40,Raining no high winds,2005
101,200501BS70074,Slight,05/03/2005,Saturday,Darkness - lights lit,1,1,0.0,0.0,Dry,30,16:55,Fine no high winds,2005
102,200501BS70075,Slight,08/03/2005,Tuesday,Daylight,1,1,0.0,0.0,Dry,30,13:36,Fine no high winds,2005
103,200501BS70076,Slight,06/03/2005,Sunday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,1:05,Fine no high winds,2005
104,200501BS70077,Slight,08/03/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,12:20,Fine no high winds,2005
105,200501BS70077,Slight,08/03/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,12:20,Fine no high winds,2005
106,200501BS70078,Slight,08/03/2005,Tuesday,Daylight,1,2,0.0,5.0,Dry,30,8:56,Fine no high winds,2005
107,200501BS70079,Slight,09/03/2005,Wednesday,Daylight,1,3,0.0,5.0,Dry,30,16:55,Fine no high winds,2005
108,200501BS70079,Slight,09/03/2005,Wednesday,Daylight,1,3,0.0,5.0,Dry,30,16:55,Fine no high winds,2005
109,200501BS70080,Slight,09/03/2005,Wednesday,Daylight,2,3,0.0,1.0,Dry,30,15:35,Fine no high winds,2005
110,200501BS70082,Slight,14/03/2005,Monday,Daylight,1,1,0.0,0.0,Wet or damp,30,17:35,Fine no high winds,2005
111,200501BS70083,Slight,17/03/2005,Thursday,Daylight,1,1,0.0,4.0,Dry,30,9:15,Fine no high winds,2005
112,200501BS70084,Slight,13/03/2005,Sunday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,0:15,Fine no high winds,2005
113,200501BS70085,Slight,15/03/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,13:02,Fine no high winds,2005
114,200501BS70085,Slight,15/03/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,13:02,Fine no high winds,2005
115,200501BS70086,Slight,14/03/2005,Monday,Darkness - lights lit,1,2,0.0,5.0,Dry,30,20:00,Fine no high winds,2005
116,200501BS70087,Slight,15/03/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,15:31,Fine no high winds,2005
117,200501BS70088,Serious,15/03/2005,Tuesday,Daylight,1,2,0.0,5.0,Dry,30,9:40,Fine no high winds,2005
118,200501BS70088,Serious,15/03/2005,Tuesday,Daylight,1,2,0.0,5.0,Dry,30,9:40,Fine no high winds,2005
119,200501BS70089,Serious,09/03/2005,Wednesday,Daylight,1,2,0.0,5.0,Dry,30,9:13,Fine no high winds,2005
120,200501BS70090,Slight,18/03/2005,Friday,Daylight,2,1,0.0,1.0,Dry,30,14:41,Fine no high winds,2005
121,200501BS70091,Slight,09/03/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,8:17,Fine no high winds,2005
122,200501BS70092,Slight,17/03/2005,Thursday,Daylight,2,3,0.0,0.0,Dry,30,11:07,Fine no high winds,2005
123,200501BS70093,Slight,17/03/2005,Thursday,Darkness - lights lit,1,2,0.0,1.0,Dry,30,20:55,Fine no high winds,2005
124,200501BS70094,Slight,17/03/2005,Thursday,Darkness - lights lit,1,1,0.0,5.0,Dry,30,23:30,Fine no high winds,2005
125,200501BS70095,Slight,13/03/2005,Sunday,Darkness - lights lit,1,1,0.0,0.0,Dry,30,20:45,Fine no high winds,2005
126,200501BS70096,Serious,16/03/2005,Wednesday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,20:20,Fine no high winds,2005
127,200501BS70097,Slight,24/03/2005,Thursday,Daylight,1,1,0.0,0.0,Dry,30,13:53,Fine no high winds,2005
128,200501BS70098,Slight,20/03/2005,Sunday,Daylight,2,1,0.0,0.0,Dry,30,14:31,Fine no high winds,2005
129,200501BS70099,Slight,21/03/2005,Monday,Daylight,1,1,0.0,1.0,Dry,30,9:22,Fine no high winds,2005
130,200501BS70100,Slight,18/03/2005,Friday,Darkness - lights lit,1,1,0.0,1.0,Dry,30,18:03,Fine no high winds,2005
131,200501BS70101,Slight,20/03/2005,Sunday,Daylight,1,1,0.0,0.0,Dry,30,13:45,Fine no high winds,2005
132,200501BS70102,Slight,23/03/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,15:45,Fine no high winds,2005
133,200501BS70105,Slight,24/02/2005,Thursday,Daylight,1,2,0.0,1.0,Dry,30,8:17,Fine no high winds,2005
134,200501BS70107,Slight,23/03/2005,Wednesday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,23:17,Fine no high winds,2005
135,200501BS70108,Slight,24/03/2005,Thursday,Darkness - lights lit,1,2,0.0,5.0,Dry,30,19:20,Fine no high winds,2005
136,200501BS70109,Slight,24/03/2005,Thursday,Daylight,1,2,0.0,0.0,Dry,30,12:01,Fine no high winds,2005
137,200501BS70110,Slight,31/03/2005,Thursday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,23:39,Fine no high winds,2005
138,200501BS70111,Slight,21/03/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,11:40,Fine no high winds,2005
139,200501BS70112,Slight,18/03/2005,Friday,Daylight,1,3,0.0,0.0,Dry,30,12:30,Fine no high winds,2005
140,200501BS70113,Slight,24/02/2005,Thursday,Daylight,1,1,0.0,0.0,Wet or damp,30,12:40,Raining no high winds,2005
141,200501BS70114,Slight,24/03/2005,Thursday,Daylight,1,1,0.0,0.0,Dry,30,9:20,Fine no high winds,2005
142,200501BS70115,Slight,23/03/2005,Wednesday,Daylight,1,3,0.0,0.0,Dry,30,8:23,Fine no high winds,2005
143,200501BS70116,Slight,23/03/2005,Wednesday,Darkness - lights lit,1,2,0.0,5.0,Dry,30,18:36,Fine no high winds,2005
144,200501BS70117,Slight,31/03/2005,Thursday,Daylight,1,2,0.0,0.0,Dry,30,17:10,Fine no high winds,2005
145,200501BS70118,Slight,14/03/2005,Monday,Daylight,1,1,0.0,1.0,Dry,30,15:30,Fine no high winds,2005
146,200501BS70119,Slight,12/03/2005,Saturday,Darkness - lights lit,1,1,0.0,5.0,Dry,30,3:00,Fine no high winds,2005
147,200501BS70121,Slight,09/04/2005,Saturday,Daylight,1,2,0.0,0.0,Dry,30,9:45,Fine no high winds,2005
148,200501BS70123,Slight,07/04/2005,Thursday,Daylight,1,1,0.0,5.0,Wet or damp,30,14:30,Raining no high winds,2005
149,200501BS70124,Slight,02/04/2005,Saturday,Daylight,1,2,0.0,4.0,Dry,30,11:09,Fine no high winds,2005
150,200501BS70125,Serious,17/03/2005,Thursday,Daylight,1,2,0.0,5.0,Dry,30,17:00,Fine no high winds,2005
151,200501BS70126,Slight,31/03/2005,Thursday,Daylight,1,2,0.0,0.0,Dry,30,15:12,Fine no high winds,2005
152,200501BS70127,Slight,07/04/2005,Thursday,Daylight,1,1,0.0,5.0,Dry,30,13:15,Fine no high winds,2005
153,200501BS70128,Slight,31/03/2005,Thursday,Darkness - lights lit,1,2,0.0,5.0,Wet or damp,30,21:25,Fine no high winds,2005
154,200501BS70129,Slight,06/04/2005,Wednesday,Darkness - lights lit,1,1,0.0,1.0,Dry,30,0:32,Fine no high winds,2005
155,200501BS70130,Slight,05/04/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,8:25,Fine no high winds,2005
156,200501BS70131,Slight,08/04/2005,Friday,Daylight,1,1,0.0,1.0,Dry,30,9:04,Fine no high winds,2005
157,200501BS70132,Slight,02/04/2005,Saturday,Daylight,1,1,0.0,0.0,Dry,30,16:42,Fine no high winds,2005
158,200501BS70133,Slight,06/04/2005,Wednesday,Daylight,1,3,0.0,5.0,Wet or damp,30,8:40,Raining no high winds,2005
159,200501BS70134,Serious,01/04/2005,Friday,Darkness - lights lit,1,2,0.0,5.0,Dry,30,23:40,Fine no high winds,2005
160,200501BS70135,Slight,06/04/2005,Wednesday,Daylight,1,1,0.0,0.0,Dry,30,18:15,Fine no high winds,2005
161,200501BS70136,Serious,04/04/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,6:18,Fine no high winds,2005
162,200501BS70137,Slight,08/04/2005,Friday,Daylight,1,2,0.0,0.0,Dry,30,10:40,Fine no high winds,2005
163,200501BS70140,Slight,08/04/2005,Friday,Daylight,1,2,0.0,4.0,Wet or damp,30,8:28,Raining no high winds,2005
164,200501BS70141,Slight,08/04/2005,Friday,Daylight,1,2,0.0,4.0,Dry,30,12:58,Fine no high winds,2005
165,200501BS70142,Slight,10/04/2005,Sunday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,19:25,Fine no high winds,2005
166,200501BS70144,Slight,13/03/2005,Sunday,Daylight,1,2,0.0,0.0,Dry,30,8:43,Fine no high winds,2005
167,200501BS70145,Slight,19/04/2005,Tuesday,Daylight,1,1,0.0,0.0,Wet or damp,30,13:28,Raining no high winds,2005
168,200501BS70148,Slight,03/04/2005,Sunday,Daylight,1,1,0.0,0.0,Dry,30,18:15,Fine no high winds,2005
169,200501BS70149,Slight,12/04/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,15:50,Fine no high winds,2005
170,200501BS70151,Slight,13/04/2005,Wednesday,Daylight,1,1,0.0,0.0,Wet or damp,30,9:50,Raining no high winds,2005
171,200501BS70152,Slight,14/04/2005,Thursday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,20:05,Fine no high winds,2005
172,200501BS70153,Slight,13/04/2005,Wednesday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,22:50,Fine no high winds,2005
173,200501BS70154,Slight,16/04/2005,Saturday,Daylight,1,2,0.0,1.0,Dry,30,10:10,Fine no high winds,2005
174,200501BS70155,Slight,16/04/2005,Saturday,Daylight,2,2,0.0,0.0,Dry,30,18:45,Fine no high winds,2005
175,200501BS70155,Slight,16/04/2005,Saturday,Daylight,2,2,0.0,0.0,Dry,30,18:45,Fine no high winds,2005
176,200501BS70156,Slight,08/04/2005,Friday,Daylight,1,2,0.0,5.0,Wet or damp,30,17:30,Fine no high winds,2005
177,200501BS70157,Slight,14/04/2005,Thursday,Daylight,1,2,0.0,1.0,Dry,30,9:30,Fine no high winds,2005
178,200501BS70158,Slight,14/04/2005,Thursday,Daylight,1,2,0.0,0.0,Dry,30,12:55,Fine no high winds,2005
179,200501BS70160,Slight,18/04/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,12:24,Fine no high winds,2005
180,200501BS70161,Slight,20/04/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,17:00,Fine no high winds,2005
181,200501BS70163,Slight,19/04/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,19:25,Fine no high winds,2005
182,200501BS70164,Slight,10/04/2005,Sunday,Daylight,1,2,0.0,0.0,Dry,30,19:06,Fine no high winds,2005
183,200501BS70165,Slight,20/04/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,7:50,Fine no high winds,2005
184,200501BS70166,Serious,16/04/2005,Saturday,Darkness - lights lit,1,1,0.0,5.0,Dry,30,20:42,Fine no high winds,2005
185,200501BS70167,Slight,17/04/2005,Sunday,Daylight,1,3,0.0,0.0,Dry,30,13:30,Fine no high winds,2005
186,200501BS70168,Slight,16/04/2005,Saturday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,21:00,Fine no high winds,2005
187,200501BS70169,Slight,16/04/2005,Saturday,Daylight,1,1,0.0,0.0,Dry,30,17:35,Fine no high winds,2005
188,200501BS70170,Serious,16/04/2005,Saturday,Daylight,1,2,0.0,1.0,Dry,30,17:30,Fine no high winds,2005
189,200501BS70171,Slight,20/04/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,40,14:40,Fine no high winds,2005
190,200501BS70172,Slight,17/04/2005,Sunday,Darkness - lights lit,1,3,0.0,1.0,Dry,30,0:21,Fine no high winds,2005
191,200501BS70174,Slight,23/04/2005,Saturday,Darkness - lights lit,1,2,0.0,1.0,Dry,30,0:55,Fine no high winds,2005
192,200501BS70175,Slight,22/04/2005,Friday,Daylight,1,2,0.0,0.0,Dry,30,20:30,Fine no high winds,2005
193,200501BS70176,Slight,20/04/2005,Wednesday,Daylight,1,2,0.0,1.0,Dry,30,8:44,Fine no high winds,2005
194,200501BS70177,Slight,25/04/2005,Monday,Daylight,1,2,0.0,0.0,Wet or damp,30,8:45,Raining no high winds,2005
195,200501BS70178,Slight,24/04/2005,Sunday,Daylight,1,2,0.0,0.0,Dry,30,17:45,Fine no high winds,2005
196,200501BS70179,Slight,25/04/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,19:10,Fine no high winds,2005
197,200501BS70181,Slight,23/04/2005,Saturday,Darkness - lights lit,1,1,0.0,0.0,Dry,30,21:20,Fine no high winds,2005
198,200501BS70182,Slight,23/04/2005,Saturday,Daylight,1,2,0.0,5.0,Dry,30,13:45,Fine no high winds,2005
199,200501BS70183,Slight,16/04/2005,Saturday,Daylight,1,2,0.0,0.0,Dry,30,17:45,Fine no high winds,2005
200,200501BS70185,Slight,28/04/2005,Thursday,Daylight,1,1,0.0,1.0,Dry,30,12:45,Fine no high winds,2005
201,200501BS70186,Slight,02/05/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,17:24,Fine no high winds,2005
202,200501BS70187,Slight,02/05/2005,Monday,Daylight,1,1,0.0,4.0,Dry,30,18:40,Fine no high winds,2005
203,200501BS70188,Slight,29/04/2005,Friday,Daylight,1,2,0.0,4.0,Dry,30,8:39,Fine no high winds,2005
204,200501BS70189,Slight,25/04/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,14:00,Fine no high winds,2005
205,200501BS70190,Slight,04/05/2005,Wednesday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,5:23,Fine no high winds,2005
206,200501BS70191,Slight,29/04/2005,Friday,Daylight,1,1,0.0,5.0,Dry,30,13:48,Fine no high winds,2005
207,200501BS70192,Slight,04/05/2005,Wednesday,Daylight,1,2,0.0,5.0,Dry,30,16:10,Fine no high winds,2005
